Date,Open,High,Low,Close,AdjClose,Volume
9/1/1989,29.21875,29.6875,26.9375,27.3125,15.730234,128322400
10/1/1989,27.34375,27.4375,24.4375,25.0625,14.434382,170029200
11/1/1989,25.0625,25.1875,24,24.40625,14.056426,122311600
12/1/1989,24.40625,25.46875,23.34375,23.53125,13.718481,129607600
1/1/1990,23.6875,25.40625,23.625,24.65625,14.374345,156385200
2/1/1990,24.65625,26.375,24.375,25.96875,15.139517,133848800
3/1/1990,25.9375,27.34375,25.84375,26.53125,15.660068,128318400
4/1/1990,26.28125,27.8125,26.25,27.25,16.084309,110108400
5/1/1990,27.375,30.53125,26.96875,30,17.707485,149241200
6/1/1990,30.125,30.5625,29.0625,29.375,17.532774,118013600
7/1/1990,29.375,30.78125,27.625,27.875,16.637486,120184400
8/1/1990,27.96875,28.09375,24.125,25.46875,15.201283,165578800
9/1/1990,25.25,27.3125,25.1875,26.59375,16.052385,117822800
10/1/1990,26.78125,27.59375,24.0625,26.375,15.920354,161156400
11/1/1990,26.34375,28.78125,26.21875,28.40625,17.146446,140917600
12/1/1990,28.625,29,27.65625,28.25,17.244678,110565600
1/1/1991,28.21875,31.78125,26.375,31.6875,19.343029,174923600
2/1/1991,31.625,34.9375,31.40625,32.1875,19.648235,160567200
3/1/1991,32.0625,33.75,27.75,28.46875,17.545523,178246000
4/1/1991,28.46875,28.6875,25.53125,25.75,15.869942,164028400
5/1/1991,25.625,26.625,25.125,26.53125,16.351427,144389600
6/1/1991,26.5,26.84375,24.15625,24.28125,15.141547,143852000
7/1/1991,24.40625,25.75,23.90625,25.3125,15.784621,115507200
8/1/1991,25.25,25.4375,23,24.21875,15.102568,127478800
9/1/1991,24.4375,26.59375,24.40625,25.90625,16.350761,117172000
10/1/1991,25.90625,26.1875,24.1875,24.5625,15.502649,121914400
11/1/1991,24.59375,25.34375,23.09375,23.125,14.595366,116302000
12/1/1991,22.78125,23.09375,20.875,22.25,14.217988,186779200
1/1/1992,22.25,24.53125,22.21875,22.5,14.377742,148634800
2/1/1992,22.5,23.3125,21.65625,21.71875,13.878518,109520000
3/1/1992,21.71875,22.5625,20.78125,20.875,13.518605,134208800
4/1/1992,20.875,22.6875,20.40625,22.6875,14.692388,154146000
5/1/1992,22.8125,23.59375,22.53125,22.6875,14.692388,113014400
6/1/1992,22.625,24.65625,22.0625,24.46875,16.053957,146374400
7/1/1992,24.46875,25.09375,23.09375,23.6875,15.541379,143590400
8/1/1992,23.625,23.8125,21.25,21.65625,14.208672,121280800
9/1/1992,21.65625,22.1875,20,20.1875,13.422285,134284000
10/1/1992,20.25,20.28125,16.25,16.71875,11.115979,258644800
11/1/1992,16.75,17.46875,15.21875,17.0625,11.344524,195714800
12/1/1992,17.09375,17.21875,12.1875,12.59375,8.524473,392747600
1/1/1993,12.9375,13.3125,11.46875,12.875,8.714847,311186000
2/1/1993,13,13.71875,12.1875,13.59375,9.201352,195832000
3/1/1993,13.6875,14.28125,12.46875,12.71875,8.700989,209145600
4/1/1993,12.875,13.28125,11.84375,12.15625,8.316174,164894000
5/1/1993,12.28125,13.5,11.78125,13.1875,9.021659,151283200
6/1/1993,13.3125,13.59375,12.125,12.34375,8.537821,145922400
7/1/1993,12.40625,12.4375,10.28125,11.125,7.694845,206189600
8/1/1993,11.09375,11.46875,10.15625,11.4375,7.910992,140713600
9/1/1993,11.4375,11.59375,10.3125,10.5,7.3037,143716000
10/1/1993,10.53125,11.65625,10.53125,11.5,7.99929,182151200
11/1/1993,11.5,14.03125,11.4375,13.46875,9.368733,270267200
12/1/1993,13.6875,14.96875,13.1875,14.125,9.873855,196909600
1/1/1994,14.21875,15,13.6875,14.125,9.873855,214073600
2/1/1994,14.21875,14.34375,13,13.21875,9.240355,148824800
3/1/1994,13.21875,14.71875,12.84375,13.65625,9.589179,246932800
4/1/1994,13.25,14.875,12.84375,14.375,10.093878,213590400
5/1/1994,14.375,16.03125,14.0625,15.75,11.059377,191827200
6/1/1994,15.75,16.25,14.53125,14.6875,10.358149,179832000
7/1/1994,14.75,15.78125,13.625,15.46875,10.909116,220216800
8/1/1994,15.46875,17.53125,15.375,17.125,12.077158,241504800
9/1/1994,16.71875,17.84375,16.65625,17.40625,12.324412,182742800
10/1/1994,17.34375,19.09375,16.84375,18.625,13.187343,217612400
11/1/1994,18.59375,18.8125,17,17.6875,12.523554,183975600
12/1/1994,17.65625,18.65625,17.21875,18.375,13.054741,162032400
1/1/1995,18.375,19.5,17.5625,18.03125,12.810514,209998400
2/1/1995,18.09375,19.0625,18.0625,18.8125,13.365567,140747200
3/1/1995,18.78125,21.28125,18.78125,20.53125,14.635705,255785600
4/1/1995,20.5625,24.21875,20.5625,23.65625,16.863352,223769200
5/1/1995,23.46875,24.46875,22.875,23.25,16.573757,259951200
